SpendOnYou,MilesRan,ToppingNum,ToppingType,GiveUp,TextsSent,TextsReceived,GroupText,TextOften,Active,Generous,Gender,SpeedAlone,SpeedPassenger,HardestGiveUp,Personality,Location
100,3.2,1,Only cheese (no extra toppings),Caffeine,30,30,10,Friend,Yes,Yes,Female,65,65,Dairy,Extrovert,Quiet Place
100,3.2,0,Only cheese (no extra toppings),Caffeine,30,30,10,Friend,Yes,Yes,Female,65,65,Dairy,Extrovert,Quiet Place
200,3.1,4,Mostly veggie toppings,Meat,,76,28,Friend,Yes,Yes,Male,90,75,Desserts,Extrovert,Quiet Place
150,2.5,4,A bit of BOTH veggie and meat toppings,Caffeine,12,15,7,Friend,Yes,Yes,Male,80,75,Meat,Extrovert,Natural Light
800,6,3,Mostly meat toppings,Desserts,25,25,28,Friend,Yes,Yes,Male,85,70,Meat,Extrovert,Quiet Place
800,6,3,Mostly meat toppings,Desserts,25,25,28,Friend,Yes,Yes,Male,85,70,Meat,Extrovert,Natural Light
500,1.5,2,Mostly meat toppings,Caffeine,50,20,19,Significant Other,Yes,Yes,Female,75,70,Desserts,Extrovert,Quiet Place
300,4,1,Mostly meat toppings,Caffeine,9,14,33,Friend,Yes,Yes,Female,80,75,Meat,Extrovert,Natural Light
750,2,3,Mostly meat toppings,Dairy,100,100,38,Significant Other,Yes,Yes,Male,80,70,Meat,Introvert,Natural Light
500,1,4,Mostly veggie toppings,Meat,100,100,27,Significant Other,Yes,Yes,Female,80,65,Dairy,Introvert,Outside
300,2,1,Only cheese (no extra toppings),Caffeine,35,200,14,Family,Yes,Yes,Female,75,70,Desserts,Extrovert,Natural Light
300,2,2,Mostly meat toppings,Caffeine,2,6,13,Family,Yes,Yes,Female,75,75,Dairy,Introvert,Quiet Place
750,20,2,A bit of BOTH veggie and meat toppings,Caffeine,10,7,12,Significant Other,Yes,Yes,Male,95,80,Meat,Introvert,Quiet Place
1000,6.5,1,Mostly veggie toppings,Dairy,15,24,8,Friend,Yes,Yes,Female,80,70,Caffeine,Extrovert,Quiet Place
800,4,7,Mostly veggie toppings,Meat,40,50,8,Significant Other,No,Yes,Female,80,69,Caffeine,Extrovert,Public Place
100,5,2,Mostly veggie toppings,Desserts,5,10,7,Significant Other,Yes,Yes,Male,75,75,Caffeine,Introvert,Quiet Place
900,2,0,Only cheese (no extra toppings),Caffeine,81,79,9,Significant Other,Yes,Yes,Female,80,70,Meat,Introvert,Natural Light
350,6.5,3,Mostly meat toppings,Caffeine,40,250,17,Friend,Yes,Yes,Male,75,65,Meat,Introvert,Outside
650,1,3,Mostly veggie toppings,Meat,32,32,12,Family,No,No,Male,85,75,Caffeine,Introvert,Quiet Place
500,3,3,Mostly veggie toppings,Desserts,200,250,13,Significant Other,Yes,Yes,Female,75,70,Caffeine,Extrovert,Public Place
500,3,3,Mostly veggie toppings,Desserts,200,250,13,Significant Other,Yes,Yes,Female,75,70,Caffeine,Extrovert,Public Place
1000,2,1,Only cheese (no extra toppings),Caffeine,100,100,13,Significant Other,Yes,Yes,Female,80,70,Dairy,Extrovert,Quiet Place
250,10,3,A bit of BOTH veggie and meat toppings,Dairy,10,4,4,Significant Other,Yes,Yes,Male,70,65,Caffeine,Introvert,Quiet Place
500,1.5,0,Only cheese (no extra toppings),Caffeine,2,1,17,Family,No,Yes,Female,75,72,Meat,Introvert,Quiet Place
200,1,0,Only cheese (no extra toppings),Caffeine,59,74,9,Friend,Yes,Yes,Female,65,68,Dairy,Extrovert,Quiet Place
750,0.5,3,A bit of BOTH veggie and meat toppings,Caffeine,50,50,5,Significant Other,No,Yes,Female,75,75,Meat,Introvert,Quiet Place
500,1,2,Mostly meat toppings,Caffeine,5,10,30,Friend,Yes,Yes,Male,90,70,Caffeine,Extrovert,Quiet Place
500,1,2,Mostly meat toppings,Caffeine,5,10,30,Friend,Yes,Yes,Male,90,70,Caffeine,Extrovert,Quiet Place
500,3,4,Mostly meat toppings,Caffeine,150,150,16,Significant Other,Yes,Yes,Male,75,75,Dairy,Extrovert,Natural Light
900,2,2,Mostly meat toppings,Caffeine,50,100,12,Friend,No,No,Male,77,77,Meat,Introvert,Quiet Place
400,10,4,Mostly veggie toppings,Meat,15,40,11,Friend,Yes,Yes,Male,80,70,Dairy,Introvert,Natural Light
1000,3,3,Mostly meat toppings,Caffeine,20,20,18,Significant Other,Yes,Yes,Male,80,70,Meat,Extrovert,Quiet Place
500,3,3,Mostly meat toppings,Desserts,55,60,23,Significant Other,No,Yes,Male,85,70,Caffeine,Introvert,Quiet Place
700,1,2,A bit of BOTH veggie and meat toppings,Meat,15,45,241,Significant Other,Yes,Yes,Female,70,65,Caffeine,Extrovert,Quiet Place
750,2,3,Mostly meat toppings,Dairy,200,200,38,Significant Other,Yes,Yes,Male,80,70,Meat,Introvert,Natural Light
1000,1,1,Mostly meat toppings,Caffeine,50,50,20,Friend,Yes,Yes,Male,85,75,Meat,Extrovert,Quiet Place
400,7,1,Only cheese (no extra toppings),Meat,150,160,10,Friend,Yes,Yes,Female,80,65,Dairy,Extrovert,Public Place
400,7,1,Only cheese (no extra toppings),Meat,150,160,10,Friend,Yes,Yes,Female,80,65,Dairy,Extrovert,Public Place
500,5,3,Mostly meat toppings,Desserts,20,500,9,Friend,Yes,Yes,Male,85,75,Caffeine,Extrovert,Natural Light
150,0.25,3,Mostly meat toppings,Caffeine,50,75,13,Friend,No,Yes,Female,85,75,Desserts,Introvert,Quiet Place
500,6,3,Mostly meat toppings,Caffeine,15,20,12,Significant Other,Yes,Yes,Male,95,85,Meat,Introvert,Natural Light
350,6.5,3,Mostly meat toppings,Caffeine,50,450,17,Friend,Yes,Yes,Male,80,65,Meat,Introvert,Outside
500,5,1,Only cheese (no extra toppings),Caffeine,20,20,16,Friend,Yes,Yes,Female,80,60,Caffeine,Extrovert,Quiet Place
600,4.5,2,Mostly meat toppings,Caffeine,45,55,26,Friend,Yes,Yes,Female,75,70,Meat,Extrovert,Quiet Place
1000,3,0,Only cheese (no extra toppings),Dairy,,,,Friend,Yes,Yes,Female,70,70,Meat,Introvert,Quiet Place
0,10.5,2,A bit of BOTH veggie and meat toppings,Dairy,40,20,8,Friend,Yes,Yes,Male,85,75,Desserts,Introvert,Public Place
0,10,2,A bit of BOTH veggie and meat toppings,Dairy,40,20,8,Friend,Yes,Yes,Male,85,75,Desserts,Introvert,Public Place
1000,14,3,A bit of BOTH veggie and meat toppings,Caffeine,6,6,10,Friend,Yes,Yes,Male,60,70,Meat,,Outside
300,1,3,A bit of BOTH veggie and meat toppings,Caffeine,3,1,5,Family,Yes,Yes,Female,70,70,Desserts,Introvert,Natural Light
100,0.4,3,Mostly meat toppings,Dairy,35,53,5,Friend,Yes,Yes,Female,65,60,Meat,Introvert,Natural Light
250,8,3,Mostly meat toppings,Caffeine,5,10,12,Friend,Yes,No,Male,75,65,Meat,Extrovert,Quiet Place
500,5,1,Only cheese (no extra toppings),Caffeine,25,25,16,Friend,Yes,Yes,Female,70,70,Desserts,Extrovert,Public Place
200,4,4,Mostly meat toppings,Meat,26,18,20,Friend,No,Yes,Female,75,70,Dairy,Introvert,Quiet Place
300,4,1,Mostly meat toppings,Caffeine,17,6,32,Friend,Yes,Yes,Female,80,75,Meat,Extrovert,Natural Light
500,1.5,4,Mostly meat toppings,Dairy,61,200,25,Family,Yes,Yes,Female,75,65,Meat,Introvert,Quiet Place
