TrialNumber,LeftRight,OverUnder,MakeMiss
1,Right,Under,Miss
2,Left,Over,Miss
3,Right,Under,Miss
4,Left,Over,Miss
5,Left,Under,Miss
6,Right,Under,Miss
7,Left,Over,Miss
8,Left,Under,Miss
9,Right,Over,Make
10,Left,Over,Make
11,Right,Under,Miss
12,Left,Under,Make
13,Right,Under,Make
14,Right,Over,Miss
15,Right,Under,Miss
16,Right,Over,Miss
17,Right,Under,Miss
18,Right,Over,Miss
19,Right,Under,Make
20,Left,Under,Miss
21,Right,Under,Miss
22,Right,Over,Miss
23,Left,Under,Miss
24,Right,Under,Miss
25,Left,Over,Make
26,Left,Under,Make
27,Right,Under,Miss
28,Right,Over,Miss
29,Right,Under,Make
30,Left,Under,Miss
31,Left,Over,Miss
32,Left,Under,Make
33,Right,Over,Make
34,Left,Over,Miss
35,Right,Under,Make
36,Left,Under,Make
37,Right,Over,Make
38,Right,Under,Miss
39,Left,Over,Miss
40,Right,Under,Make